Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1999-03-10 00:00:00-05:00,43.33581086325675,43.362299745202506,42.62061105072134,43.282833099365234,5232000,0.0,0.0,0.0
1999-03-11 00:00:00-05:00,43.60068740101302,43.852331708613036,42.64708791958139,43.49473190307617,9688600,0.0,0.0,0.0
1999-03-12 00:00:00-05:00,43.335821954200924,43.362310842925986,42.09084418412303,42.43519973754883,8743600,0.0,0.0,0.0
1999-03-15 00:00:00-05:00,42.75304567003713,43.70664520171082,42.30273478008011,43.65366744995117,6369000,0.0,0.0,0.0
1999-03-16 00:00:00-05:00,43.8391101001689,44.209954536061566,43.36231011116404,44.024532318115234,4905800,0.0,0.0,0.0
1999-03-17 00:00:00-05:00,44.024531693892044,44.07750946969697,43.57422059955019,43.7066650390625,3965000,0.0,0.0,0.0
1999-03-18 00:00:00-05:00,43.65369138592914,44.58080255007205,43.640446940727095,44.55431365966797,4848400,0.0,0.0,0.0
1999-03-19 00:00:00-05:00,45.137060755414886,45.137060755414886,43.388794317705155,43.415283203125,7160400,0.0,0.0,0.0
1999-03-22 00:00:00-05:00,43.600701707318066,43.70665724002115,42.806035212044954,42.885501861572266,5024800,0.0,0.0,0.0
1999-03-23 00:00:00-05:00,42.64709956209425,42.806032852387766,41.296166594599335,41.375633239746094,10962400,0.0,0.0,0.0
1999-03-24 00:00:00-05:00,41.74647842265504,42.80603371257014,41.11074524870598,42.779544830322266,8447000,0.0,0.0,0.0
1999-03-25 00:00:00-05:00,43.44176990869082,44.34239196777344,43.15701440471617,44.34239196777344,8133800,0.0,0.0,0.0
1999-03-26 00:00:00-05:00,43.97153319943931,44.47482183244494,43.68015556980446,43.865577697753906,8256200,0.0,0.0,0.0
1999-03-29 00:00:00-05:00,44.39536271173081,45.48140678761444,44.13047391273481,45.454917907714844,5113800,0.0,0.0,0.0
1999-03-30 00:00:00-05:00,45.4019547717672,45.77279920980964,44.95164366842995,45.13706588745117,4940600,0.0,0.0,0.0
1999-03-31 00:00:00-05:00,45.87874917262647,45.93172694303366,44.34239383081796,44.47483825683594,8256600,0.0,0.0,0.0
1999-04-01 00:00:00-05:00,45.772787550366466,45.82576531373495,44.660254519628396,45.40194320678711,8715800,0.0,0.0,0.0
1999-04-05 00:00:00-04:00,46.13701383809785,47.11048032786395,45.85225833428872,47.04425811767578,5697200,0.0,0.0,0.0
1999-04-06 00:00:00-04:00,46.991281653562595,47.65350377382137,46.59394838140734,47.13697052001953,7522400,0.0,0.0,0.0
1999-04-07 00:00:00-04:00,47.57401841015791,47.67997390773065,45.6403305794555,46.646907806396484,11923600,0.0,0.0,0.0
1999-04-08 00:00:00-04:00,46.56745783416318,47.242924372713325,45.61385801503356,47.01776885986328,7952400,0.0,0.0,0.0
1999-04-09 00:00:00-04:00,46.93831007424554,47.415110063713044,46.805865632726785,47.30915451049805,4946800,0.0,0.0,0.0
1999-04-12 00:00:00-04:00,46.19661309243324,47.3091462058978,46.1436353251254,46.99127960205078,10934000,0.0,0.0,0.0
1999-04-13 00:00:00-04:00,47.282671508789065,47.388627075195316,45.9847158203125,46.355560302734375,9962200,0.0,0.0,0.0
1999-04-14 00:00:00-04:00,46.93830887833996,46.991286653597676,44.50795343839205,44.76622009277344,21253800,0.0,0.0,0.0
1999-04-15 00:00:00-04:00,44.92515807143444,45.44831365628752,43.335824649095954,45.37546920776367,17650600,0.0,0.0,0.0
1999-04-16 00:00:00-04:00,45.26950260650947,45.26950260650947,43.812613991320454,44.0510139465332,17274000,0.0,0.0,0.0
1999-04-19 00:00:00-04:00,44.34240115674137,44.71324561085987,41.54120108366765,41.98488998413086,19460600,0.0,0.0,0.0
1999-04-20 00:00:00-04:00,41.799462094268705,43.28283970978141,41.40212880439923,42.93848419189453,17413600,0.0,0.0,0.0
1999-04-21 00:00:00-04:00,43.33580940152392,45.08407555097415,42.753054018373845,45.057586669921875,10940400,0.0,0.0,0.0
1999-04-22 00:00:00-04:00,45.48140705416526,46.408517856084764,45.18340715354828,46.27607345581055,13630600,0.0,0.0,0.0
1999-04-23 00:00:00-04:00,46.03768206666419,47.22968189002431,45.560882137320135,46.88532638549805,7064400,0.0,0.0,0.0
1999-04-26 00:00:00-04:00,47.20318543264159,48.315718422636515,47.05087436853515,47.96474075317383,5421000,0.0,0.0,0.0
1999-04-27 00:00:00-04:00,48.3157389368559,48.55413896450486,46.62707207434243,47.22969436645508,16482800,0.0,0.0,0.0
1999-04-28 00:00:00-04:00,46.832338073943134,46.99127134794973,45.40856082763406,45.61384963989258,7676800,0.0,0.0,0.0
1999-04-29 00:00:00-04:00,45.40194094208979,45.66682974571925,44.28940796684605,45.24300765991211,19148200,0.0,0.0,0.0
1999-04-30 00:00:00-04:00,45.87875265905925,46.11715264400817,43.91857500503478,45.53439712524414,15295200,0.0,0.0,0.0
1999-05-03 00:00:00-04:00,45.40195699323687,45.58737922133061,44.53444585465548,45.29600143432617,11109800,0.0,0.0,0.0
1999-05-04 00:00:00-04:00,45.37544633997953,46.09064601959392,44.315891259069325,44.580780029296875,15428400,0.0,0.0,0.0
1999-05-05 00:00:00-04:00,44.607269243110565,45.93171310424805,43.25633650475032,45.93171310424805,12642600,0.0,0.0,0.0
1999-05-06 00:00:00-04:00,45.50792524701888,45.905258703773995,43.83912472864741,44.26294708251953,15173400,0.0,0.0,0.0
1999-05-07 00:00:00-04:00,44.66025120557937,45.031095521639934,43.70665153570935,44.898651123046875,16430400,0.0,0.0,0.0
1999-05-10 00:00:00-04:00,45.19003900634908,45.65359450612113,44.66026129232389,45.34897232055664,10604200,0.0,0.0,0.0
1999-05-11 00:00:00-04:00,45.719819119910255,46.302574635923015,45.45493024899536,46.06417465209961,8800800,0.0,0.0,0.0
1999-05-12 00:00:00-04:00,46.27608011165135,47.17670216305155,44.92514703455105,47.01776885986328,12507400,0.0,0.0,0.0
1999-05-13 00:00:00-04:00,47.38861231360452,47.46807896365528,45.93172372934055,46.14363479614258,9864000,0.0,0.0,0.0
1999-05-14 00:00:00-04:00,45.243015662071095,45.772793363032115,44.92514904149448,45.26950454711914,12205400,0.0,0.0,0.0
1999-05-17 00:00:00-04:00,44.87217500371175,46.22310825352834,44.42848614225238,46.084041595458984,9906800,0.0,0.0,0.0
1999-05-18 00:00:00-04:00,46.03769081679558,46.302579716777146,45.34897967684352,45.87875747680664,9267800,0.0,0.0,0.0
1999-05-19 00:00:00-04:00,46.06416578227675,46.54096565811401,45.34896596852088,46.51447677612305,7985600,0.0,0.0,0.0
1999-05-20 00:00:00-04:00,46.61383856827964,46.61383856827964,45.16357139304832,45.23641586303711,5997200,0.0,0.0,0.0
1999-05-21 00:00:00-04:00,45.375461395750655,45.50790582481006,44.58079482139425,44.81919479370117,10958600,0.0,0.0,0.0
1999-05-24 00:00:00-04:00,44.898645008889886,44.9781116372242,43.388779070537836,43.68015670776367,9569800,0.0,0.0,0.0
