,entry_date,entry_price,exit_date,exit_price,size,PnL,ReturnPct,duration,Tag
0,2004-12-03 05:00:00,4.4930338859558105,2004-12-08 05:00:00,4.233514308929443,22256.676120911747,-5776.043172911864,-5.776043172911863,5,sl
1,2004-12-22 05:00:00,4.639977931976318,2005-02-02 05:00:00,5.129629135131836,20306.983828036242,9943.339063857584,10.55287784411852,42,tp
2,2005-02-07 05:00:00,4.88231372833252,2005-02-25 05:00:00,4.629268646240234,21335.641600918272,-5398.8791803959575,-5.182892705641629,18,sl
3,2005-04-04 04:00:00,4.614823818206787,2005-04-21 04:00:00,5.086294174194336,21402.42414474858,10090.608530521124,10.216432404796576,17,tp
4,2005-09-06 04:00:00,7.150747776031494,2005-09-30 04:00:00,7.881736278533935,15223.446365421272,11128.164261585516,10.222546304214953,24,tp
5,2005-10-25 04:00:00,8.640122413635254,2005-11-03 05:00:00,9.612451553344728,13887.209435053928,13502.938402951282,11.253650042909237,9,tp
6,2005-12-13 05:00:00,10.397985458374023,2006-01-06 05:00:00,11.597704887390137,12838.076033093635,15402.089248088545,11.537998719260745,24,tp
7,2006-03-02 05:00:00,9.375845909118652,2006-03-08 05:00:00,8.813718795776367,15880.403602717954,-8926.805435906268,-5.9954815681812565,6,sl
8,2006-03-29 05:00:00,9.837352752685549,2006-04-21 04:00:00,10.886391639709473,14227.954942408678,14925.678017410939,10.663833181518692,22,tp
9,2006-06-07 04:00:00,9.626399040222168,2006-10-09 04:00:00,10.684653282165527,16090.241957352535,17027.56680526334,10.993251344782564,124,tp
10,2007-01-10 05:00:00,12.19046688079834,2007-02-09 05:00:00,11.503809928894045,14102.71306435849,-9683.725966353282,-5.632737110224008,30,sl
11,2007-03-26 04:00:00,11.58126735687256,2007-06-05 04:00:00,12.922203063964844,14008.391791234957,18784.352751805385,11.578488482925357,71,tp
12,2007-08-31 04:00:00,12.83279037475586,2007-09-24 04:00:00,14.14707851409912,14105.995503675496,18539.342584110058,10.241639588601664,24,tp
13,2007-12-04 05:00:00,17.039653778076172,2008-01-07 05:00:00,16.17018699645996,11711.42492148436,-10182.694934622892,-5.102608262703658,34,sl
14,2008-03-31 04:00:00,10.970324516296388,2008-04-18 04:00:00,13.434518814086914,17262.564174294574,42538.3122035397,22.462364665055908,18,tp
15,2008-06-09 04:00:00,13.894282341003418,2008-06-26 04:00:00,13.17076587677002,16691.34378351741,-12076.462037554633,-5.207296400608104,17,sl
16,2008-08-14 04:00:00,12.589710235595703,2008-08-26 04:00:00,11.809405326843262,17461.703012022226,-13625.452575458234,-6.197957650734763,12,sl
17,2008-10-30 04:00:00,8.95842170715332,2008-11-06 05:00:00,8.249348640441895,23018.82355027664,-16322.027806883847,-7.9151561501645915,7,sl
18,2008-12-10 05:00:00,7.691455364227295,2009-01-20 05:00:00,7.042158126831055,24688.474647102546,-16030.1583838908,-8.441799459905862,41,sl
19,2009-01-30 05:00:00,8.431411743164062,2009-02-09 05:00:00,9.433627128601074,20620.52568078131,20666.20809307804,11.886685361435209,10,tp
20,2009-03-23 04:00:00,8.682215690612793,2009-04-16 04:00:00,9.68193817138672,22405.15064358001,22398.93278351337,11.514600839216964,24,tp
21,2009-05-29 04:00:00,10.391510009765623,2009-08-13 04:00:00,11.51352310180664,20875.24171635184,23422.294505267564,10.797401830788633,76,tp
22,2009-11-11 05:00:00,14.21034049987793,2010-01-25 05:00:00,13.449213981628418,16913.56922510613,-12873.366055477121,-5.35614553540114,75,sl
23,2010-02-22 05:00:00,13.518951416015623,2010-05-04 04:00:00,12.61162567138672,16826.320673958006,-15266.953934863648,-6.711509766608175,70,sl
24,2010-06-11 04:00:00,12.16655731201172,2010-06-29 04:00:00,11.313776969909668,17441.849187458087,-14874.066116972916,-7.00921649594438,18,sl
25,2010-07-19 04:00:00,11.61065673828125,2010-09-21 04:00:00,12.788208961486816,16995.868200898392,20013.52238527669,10.141994977106538,64,tp
26,2010-12-15 05:00:00,14.701983451843262,2011-03-16 04:00:00,13.875103950500488,14783.49603282459,-12224.169827724867,-5.624271745722196,90,sl
